chr	pos	cluster	cp
13	49811926	1	0.29436375396942
5	55263271	3	0.808621294650715
5	108777449	1	0.29436375396942
3	55947568	2	0.611579561466968
7	48242833	3	0.808621294650715
10	119484199	2	0.611579561466968
1	172694099	1	0.29436375396942
17	38830941	3	0.808621294650715
2	192325850	3	0.808621294650715
7	57932206	2	0.611579561466968
2	26489779	3	0.808621294650715
21	36146639	1	0.29436375396942
17	54459394	3	0.808621294650715
6	123783902	2	0.611579561466968
11	36852726	1	0.29436375396942
3	163729498	3	0.808621294650715
17	53423487	2	0.611579561466968
12	114285149	1	0.29436375396942
3	149466465	1	0.29436375396942
4	137102122	2	0.611579561466968
2	124736386	3	0.808621294650715
14	20696393	2	0.611579561466968
14	94414520	1	0.29436375396942
19	45313798	3	0.808621294650715
3	56335296	3	0.808621294650715
7	141870884	3	0.808621294650715
2	41247791	3	0.808621294650715
5	122525086	2	0.611579561466968
7	87971355	1	0.29436375396942
7	58297321	1	0.29436375396942
15	66736249	3	0.808621294650715
8	75773181	3	0.808621294650715
2	73161436	3	0.808621294650715
16	47935987	2	0.611579561466968
13	72613165	2	0.611579561466968
6	140519417	1	0.29436375396942
6	67177886	1	0.29436375396942
16	54632594	2	0.611579561466968
9	98800510	1	0.29436375396942
X	38648946	1	0.29436375396942
11	24522562	1	0.29436375396942
6	111076340	3	0.808621294650715
9	55955616	3	0.808621294650715
2	212669490	1	0.29436375396942
1	39522907	3	0.808621294650715
7	142023954	1	0.29436375396942
1	22917866	3	0.808621294650715
11	122884681	1	0.29436375396942
5	124730855	1	0.29436375396942
8	84633885	1	0.29436375396942
9	47834755	1	0.29436375396942
6	145519337	3	0.808621294650715
5	86084550	1	0.29436375396942
4	178125131	2	0.611579561466968
17	23118354	3	0.808621294650715
8	16029379	2	0.611579561466968
5	14716788	3	0.808621294650715
1	66725298	1	0.29436375396942
6	56505653	2	0.611579561466968
19	33993948	3	0.808621294650715
2	241982945	2	0.611579561466968
12	80764902	2	0.611579561466968
Y	27291725	1	0.29436375396942
19	35163389	3	0.808621294650715
6	149823844	3	0.808621294650715
2	218892240	2	0.611579561466968
22	24754764	2	0.611579561466968
17	79714229	2	0.611579561466968
20	41302324	1	0.29436375396942
13	52444483	2	0.611579561466968
8	123304078	1	0.29436375396942
1	138900985	3	0.808621294650715
13	105711888	1	0.29436375396942
X	18294448	3	0.808621294650715
2	206742539	1	0.29436375396942
21	44182244	3	0.808621294650715
6	27200670	2	0.611579561466968
1	155275118	3	0.808621294650715
3	188815436	3	0.808621294650715
10	81844154	1	0.29436375396942
4	92030577	1	0.29436375396942
3	85176485	3	0.808621294650715
12	59451499	1	0.29436375396942
8	41074242	1	0.29436375396942
6	74600623	1	0.29436375396942
X	83367460	1	0.29436375396942
12	179086	2	0.611579561466968
22	19530579	1	0.29436375396942
1	101446601	1	0.29436375396942
7	110046832	2	0.611579561466968
5	75126719	3	0.808621294650715
4	72296257	3	0.808621294650715
14	30385711	3	0.808621294650715
4	13353664	1	0.29436375396942
10	15076359	2	0.611579561466968
12	76259930	2	0.611579561466968
7	135211982	3	0.808621294650715
7	58122726	3	0.808621294650715
17	35648624	1	0.29436375396942
9	97215252	3	0.808621294650715
Y	24878044	1	0.29436375396942
1	80364087	2	0.611579561466968
11	32989686	1	0.29436375396942
1	126608143	1	0.29436375396942
7	136515501	3	0.808621294650715
1	141381401	1	0.29436375396942
18	29889375	1	0.29436375396942
10	18104847	3	0.808621294650715
16	17671754	1	0.29436375396942
1	233675211	2	0.611579561466968
13	81106383	3	0.808621294650715
6	167625737	3	0.808621294650715
9	54337973	3	0.808621294650715
13	58997059	3	0.808621294650715
3	108233208	1	0.29436375396942
14	60787837	3	0.808621294650715
4	145939542	3	0.808621294650715
16	17371496	1	0.29436375396942
1	188860260	3	0.808621294650715
9	24379171	1	0.29436375396942
3	84005732	1	0.29436375396942
22	34317101	2	0.611579561466968
4	48069471	3	0.808621294650715
15	21661473	1	0.29436375396942
9	111123118	2	0.611579561466968
6	87939355	3	0.808621294650715
22	668832	3	0.808621294650715
7	127187064	2	0.611579561466968
22	43294200	3	0.808621294650715
2	236607125	1	0.29436375396942
1	223204967	1	0.29436375396942
22	38124877	3	0.808621294650715
2	125526384	3	0.808621294650715
3	171541502	3	0.808621294650715
9	94779844	3	0.808621294650715
6	165231361	3	0.808621294650715
3	101391641	1	0.29436375396942
3	148959497	3	0.808621294650715
10	21941281	3	0.808621294650715
22	43818889	3	0.808621294650715
11	117547395	1	0.29436375396942
8	126965971	3	0.808621294650715
2	205527326	1	0.29436375396942
3	124268869	1	0.29436375396942
1	240829648	1	0.29436375396942
1	120120668	2	0.611579561466968
6	53179201	1	0.29436375396942
3	174983929	3	0.808621294650715
14	35743113	2	0.611579561466968
6	116249530	1	0.29436375396942
X	107165702	1	0.29436375396942
8	60401469	1	0.29436375396942
14	97842971	3	0.808621294650715
17	51513494	3	0.808621294650715
14	11137715	1	0.29436375396942
3	134931134	2	0.611579561466968
Y	56347086	2	0.611579561466968
16	85225323	3	0.808621294650715
15	44352606	3	0.808621294650715
11	124595572	1	0.29436375396942
X	43789530	2	0.611579561466968
2	169981756	2	0.611579561466968
7	42412745	2	0.611579561466968
5	73184060	3	0.808621294650715
14	15088613	2	0.611579561466968
9	108722802	3	0.808621294650715
14	84404474	3	0.808621294650715
6	93995088	3	0.808621294650715
15	55477098	3	0.808621294650715
22	2991864	3	0.808621294650715
12	123231864	3	0.808621294650715
6	98633688	3	0.808621294650715
3	2786710	1	0.29436375396942
6	52249931	1	0.29436375396942
11	8587188	1	0.29436375396942
1	163753873	1	0.29436375396942
3	65887676	3	0.808621294650715
12	9786237	1	0.29436375396942
11	68484059	3	0.808621294650715
20	15326530	3	0.808621294650715
1	222782206	1	0.29436375396942
1	234616455	3	0.808621294650715
19	28638942	1	0.29436375396942
16	75574769	1	0.29436375396942
3	163971341	1	0.29436375396942
8	116426	1	0.29436375396942
2	177608337	2	0.611579561466968
9	34424391	2	0.611579561466968
7	28941749	3	0.808621294650715
9	42878994	2	0.611579561466968
8	101950483	2	0.611579561466968
11	84725443	1	0.29436375396942
12	49299763	1	0.29436375396942
5	68786233	3	0.808621294650715
20	29296620	1	0.29436375396942
4	180674265	3	0.808621294650715
Y	54744403	2	0.611579561466968
1	151093503	3	0.808621294650715
6	22910613	2	0.611579561466968
4	159151998	1	0.29436375396942
15	6857612	1	0.29436375396942
2	166026318	3	0.808621294650715
15	88408862	3	0.808621294650715
1	174723837	3	0.808621294650715
4	62579252	1	0.29436375396942
8	14688609	1	0.29436375396942
5	6126372	3	0.808621294650715
1	18413401	2	0.611579561466968
Y	59144889	1	0.29436375396942
X	73036232	3	0.808621294650715
16	43973001	2	0.611579561466968
1	124136638	1	0.29436375396942
2	233043135	1	0.29436375396942
14	39954882	3	0.808621294650715
7	110888407	2	0.611579561466968
17	59178134	1	0.29436375396942
X	121435183	1	0.29436375396942
2	27994178	3	0.808621294650715
Y	51202912	2	0.611579561466968
5	20581944	1	0.29436375396942
10	118350733	3	0.808621294650715
3	168506920	1	0.29436375396942
5	149570508	1	0.29436375396942
10	109798860	3	0.808621294650715
X	40511149	2	0.611579561466968
16	78755357	3	0.808621294650715
12	118414653	3	0.808621294650715
5	57630402	1	0.29436375396942
X	30670419	3	0.808621294650715
17	4045825	3	0.808621294650715
19	25632718	3	0.808621294650715
9	31430005	3	0.808621294650715
9	132295724	1	0.29436375396942
1	48725785	2	0.611579561466968
18	64476573	3	0.808621294650715
1	242972352	2	0.611579561466968
17	55883428	1	0.29436375396942
11	9974639	2	0.611579561466968
6	43258370	3	0.808621294650715
2	92480660	2	0.611579561466968
12	36626317	3	0.808621294650715
12	28803411	2	0.611579561466968
1	126575902	3	0.808621294650715
5	147326773	3	0.808621294650715
10	81845697	2	0.611579561466968
18	46810880	3	0.808621294650715
1	228971407	2	0.611579561466968
1	196802440	3	0.808621294650715
3	78506339	1	0.29436375396942
18	63973802	3	0.808621294650715
3	71725270	1	0.29436375396942
7	145953200	3	0.808621294650715
6	52075384	1	0.29436375396942
12	22936078	1	0.29436375396942
1	237406800	1	0.29436375396942
3	151474625	1	0.29436375396942
17	16301221	3	0.808621294650715
14	92170429	3	0.808621294650715
18	64188416	3	0.808621294650715
16	33958176	2	0.611579561466968
3	163157457	2	0.611579561466968
4	62695154	3	0.808621294650715
16	69295676	1	0.29436375396942
11	33880235	1	0.29436375396942
13	54695881	1	0.29436375396942
7	125243940	3	0.808621294650715
4	55087444	3	0.808621294650715
22	7919886	1	0.29436375396942
11	45841174	1	0.29436375396942
1	44419051	1	0.29436375396942
2	27402454	1	0.29436375396942
2	151774046	3	0.808621294650715
9	90257581	2	0.611579561466968
16	67280475	1	0.29436375396942
14	100391941	3	0.808621294650715
3	18683178	3	0.808621294650715
Y	18043327	1	0.29436375396942
10	56572215	1	0.29436375396942
17	22295353	1	0.29436375396942
21	29109987	2	0.611579561466968
9	89848923	3	0.808621294650715
1	49528577	2	0.611579561466968
13	9252293	3	0.808621294650715
14	12729956	3	0.808621294650715
8	96870287	3	0.808621294650715
12	71977612	2	0.611579561466968
13	39776711	3	0.808621294650715
19	3681885	3	0.808621294650715
11	58849922	3	0.808621294650715
1	47093029	3	0.808621294650715
2	233041028	2	0.611579561466968
X	42583352	2	0.611579561466968
16	49428456	1	0.29436375396942
X	79649004	1	0.29436375396942
2	209136486	3	0.808621294650715
11	115960074	1	0.29436375396942
12	59637295	3	0.808621294650715
9	13248310	2	0.611579561466968
9	114243330	1	0.29436375396942
6	54767161	1	0.29436375396942
8	81724765	1	0.29436375396942
14	65426967	3	0.808621294650715
Y	39946438	1	0.29436375396942
5	172003388	2	0.611579561466968
8	60900006	1	0.29436375396942
9	27701876	3	0.808621294650715
8	114930235	2	0.611579561466968
10	133736049	3	0.808621294650715
4	64373542	3	0.808621294650715
1	31299138	3	0.808621294650715
12	39991319	3	0.808621294650715
16	74571043	3	0.808621294650715
4	100366547	3	0.808621294650715
3	111310257	1	0.29436375396942
18	50955127	3	0.808621294650715
Y	37920707	3	0.808621294650715
18	23830771	1	0.29436375396942
1	125904229	1	0.29436375396942
9	101938663	1	0.29436375396942
15	101911427	1	0.29436375396942
6	46276777	2	0.611579561466968
X	54985978	1	0.29436375396942
11	51532949	3	0.808621294650715
X	10210925	2	0.611579561466968
6	163971273	3	0.808621294650715
21	15780388	1	0.29436375396942
6	22755357	3	0.808621294650715
16	73555394	3	0.808621294650715
1	70242689	3	0.808621294650715
3	74552431	3	0.808621294650715
14	104330051	1	0.29436375396942
15	85182453	1	0.29436375396942
18	1904782	3	0.808621294650715
12	127743359	1	0.29436375396942
15	59924715	3	0.808621294650715
22	42820928	2	0.611579561466968
4	118036205	2	0.611579561466968
19	11721289	1	0.29436375396942
16	14024687	3	0.808621294650715
9	132428732	3	0.808621294650715
1	124792241	3	0.808621294650715
5	88611224	2	0.611579561466968
15	42710419	3	0.808621294650715
2	97135705	2	0.611579561466968
4	101454421	1	0.29436375396942
11	119736885	3	0.808621294650715
2	130712405	3	0.808621294650715
10	79277184	3	0.808621294650715
1	191225236	1	0.29436375396942
10	19623213	3	0.808621294650715
10	103492611	3	0.808621294650715
5	177599200	1	0.29436375396942
4	180738796	1	0.29436375396942
17	47371808	2	0.611579561466968
15	81049216	1	0.29436375396942
2	77246063	3	0.808621294650715
13	106197801	1	0.29436375396942
8	1815008	1	0.29436375396942
9	43537705	2	0.611579561466968
4	168475048	1	0.29436375396942
10	83277474	3	0.808621294650715
7	90912358	3	0.808621294650715
3	144380851	3	0.808621294650715
20	10469159	1	0.29436375396942
4	44833537	3	0.808621294650715
14	73340201	2	0.611579561466968
20	42355640	2	0.611579561466968
4	61179524	3	0.808621294650715
6	115967458	3	0.808621294650715
10	22612786	1	0.29436375396942
17	41875986	1	0.29436375396942
4	24405577	1	0.29436375396942
6	50066777	3	0.808621294650715
5	38509271	3	0.808621294650715
13	61522376	3	0.808621294650715
2	144636896	1	0.29436375396942
5	4341034	1	0.29436375396942
12	123959327	3	0.808621294650715
17	76788480	3	0.808621294650715
17	53557512	2	0.611579561466968
13	78439704	1	0.29436375396942
1	153102333	1	0.29436375396942
5	153139792	3	0.808621294650715
17	28047418	1	0.29436375396942
11	88459478	1	0.29436375396942
12	100759183	1	0.29436375396942
3	128533436	2	0.611579561466968
2	123869578	3	0.808621294650715
14	45653192	2	0.611579561466968
17	60018735	1	0.29436375396942
16	24219495	3	0.808621294650715
10	110640568	1	0.29436375396942
17	53640083	2	0.611579561466968
7	42991865	2	0.611579561466968
6	46353252	2	0.611579561466968
12	128376193	1	0.29436375396942
9	55730036	1	0.29436375396942
3	7262703	3	0.808621294650715
14	4088169	1	0.29436375396942
10	67594395	3	0.808621294650715
19	7024423	1	0.29436375396942
2	187048945	2	0.611579561466968
2	99499708	3	0.808621294650715
7	61091407	2	0.611579561466968
11	9632339	2	0.611579561466968
1	121985251	1	0.29436375396942
21	24595407	1	0.29436375396942
6	18185777	1	0.29436375396942
20	30827665	1	0.29436375396942
11	59422342	2	0.611579561466968
Y	47674454	2	0.611579561466968
4	143252800	3	0.808621294650715
4	173173388	3	0.808621294650715
8	87059879	3	0.808621294650715
14	90881161	3	0.808621294650715
20	19024064	2	0.611579561466968
7	32593413	1	0.29436375396942
14	44552465	3	0.808621294650715
2	186958025	1	0.29436375396942
7	90911248	1	0.29436375396942
12	383157	1	0.29436375396942
7	2477113	1	0.29436375396942
1	198370291	1	0.29436375396942
1	238747579	3	0.808621294650715
4	41758236	2	0.611579561466968
14	48552545	3	0.808621294650715
13	109283672	1	0.29436375396942
10	39467278	1	0.29436375396942
2	98554503	3	0.808621294650715
11	51424059	2	0.611579561466968
17	48013441	2	0.611579561466968
9	89444466	1	0.29436375396942
2	76997790	3	0.808621294650715
16	85013229	3	0.808621294650715
9	73604533	2	0.611579561466968
1	134337686	1	0.29436375396942
2	129903415	3	0.808621294650715
12	2345922	1	0.29436375396942
X	40065563	3	0.808621294650715
8	444838	2	0.611579561466968
16	3312404	2	0.611579561466968
5	127159545	2	0.611579561466968
21	16774356	3	0.808621294650715
7	116975731	1	0.29436375396942
15	17205239	3	0.808621294650715
9	126946275	1	0.29436375396942
2	105620378	1	0.29436375396942
21	39622790	1	0.29436375396942
10	133361324	1	0.29436375396942
19	43351743	3	0.808621294650715
4	51973038	1	0.29436375396942
7	144287998	1	0.29436375396942
4	117715997	3	0.808621294650715
18	43872229	2	0.611579561466968
19	42341271	1	0.29436375396942
4	15041885	1	0.29436375396942
8	63991183	3	0.808621294650715
4	183508874	3	0.808621294650715
2	128969259	3	0.808621294650715
1	168338094	1	0.29436375396942
4	54261586	3	0.808621294650715
13	108348421	2	0.611579561466968
1	226077244	1	0.29436375396942
7	85617317	2	0.611579561466968
12	8856899	3	0.808621294650715
X	95830701	1	0.29436375396942
2	20492706	1	0.29436375396942
1	246138165	1	0.29436375396942
7	132589962	1	0.29436375396942
16	61789183	3	0.808621294650715
3	171786547	1	0.29436375396942
7	91313817	1	0.29436375396942
11	23784669	1	0.29436375396942
X	144265310	2	0.611579561466968
X	124338994	3	0.808621294650715
13	130902	3	0.808621294650715
1	6390672	3	0.808621294650715
1	90796213	1	0.29436375396942
4	107827332	1	0.29436375396942
17	56697404	1	0.29436375396942
12	68722708	3	0.808621294650715
1	204705691	1	0.29436375396942
Y	52188783	1	0.29436375396942
2	125811370	1	0.29436375396942
5	11291436	1	0.29436375396942
2	80236851	3	0.808621294650715
7	14023894	1	0.29436375396942
1	37987664	3	0.808621294650715
14	24542539	2	0.611579561466968
1	188128319	1	0.29436375396942
2	65606631	3	0.808621294650715
5	41020622	3	0.808621294650715
Y	11081847	2	0.611579561466968
15	5373542	2	0.611579561466968
5	48025667	3	0.808621294650715
1	107027572	1	0.29436375396942
2	117383815	3	0.808621294650715
9	9418295	3	0.808621294650715
3	151621870	3	0.808621294650715
17	48508723	3	0.808621294650715
9	38629954	3	0.808621294650715
X	149654554	1	0.29436375396942
X	17525387	3	0.808621294650715
2	87902040	2	0.611579561466968
7	27450371	3	0.808621294650715
6	128325159	3	0.808621294650715
7	83215996	1	0.29436375396942
10	101039774	1	0.29436375396942
4	144827053	1	0.29436375396942
13	89332714	3	0.808621294650715
7	150050298	2	0.611579561466968
13	45671403	2	0.611579561466968
16	49189730	1	0.29436375396942
X	86373993	1	0.29436375396942
2	115338784	3	0.808621294650715
X	19018546	3	0.808621294650715
2	195234069	3	0.808621294650715
19	46886720	3	0.808621294650715
1	11897777	3	0.808621294650715
X	70394830	1	0.29436375396942
X	87625750	3	0.808621294650715
12	20047333	3	0.808621294650715
X	108164108	2	0.611579561466968
21	8302763	1	0.29436375396942
1	183868263	2	0.611579561466968
13	51436082	1	0.29436375396942
6	118943023	2	0.611579561466968
21	18863013	3	0.808621294650715
11	35589266	1	0.29436375396942
10	7650180	3	0.808621294650715
16	29772635	3	0.808621294650715
8	48880282	2	0.611579561466968
20	32251215	1	0.29436375396942
1	100553416	3	0.808621294650715
15	71342557	3	0.808621294650715
14	35788860	2	0.611579561466968
4	102740049	3	0.808621294650715
10	2768074	3	0.808621294650715
2	239988237	1	0.29436375396942
9	72255841	2	0.611579561466968
8	120657292	1	0.29436375396942
5	111445995	3	0.808621294650715
22	41641002	3	0.808621294650715
X	84063810	2	0.611579561466968
20	27897165	3	0.808621294650715
16	60109307	1	0.29436375396942
3	155288569	3	0.808621294650715
3	17189153	2	0.611579561466968
11	18060927	3	0.808621294650715
1	79964415	3	0.808621294650715
12	48082742	3	0.808621294650715
X	115507852	1	0.29436375396942
Y	4678406	1	0.29436375396942
2	29811707	1	0.29436375396942
X	89259115	1	0.29436375396942
6	63385985	1	0.29436375396942
2	47138190	3	0.808621294650715
8	80141088	3	0.808621294650715
14	62540942	3	0.808621294650715
X	106335145	3	0.808621294650715
2	90698171	2	0.611579561466968
11	35457340	1	0.29436375396942
1	146513272	2	0.611579561466968
17	52938137	2	0.611579561466968
10	97783416	2	0.611579561466968
X	127731370	3	0.808621294650715
11	22031718	1	0.29436375396942
11	100761619	1	0.29436375396942
6	87549520	1	0.29436375396942
16	29154357	2	0.611579561466968
2	185267587	3	0.808621294650715
9	36395632	1	0.29436375396942
5	145175881	1	0.29436375396942
16	76380847	1	0.29436375396942
11	7027802	1	0.29436375396942
10	68810359	1	0.29436375396942
8	87511513	3	0.808621294650715
21	30593899	3	0.808621294650715
12	117237579	3	0.808621294650715
6	80434737	3	0.808621294650715
18	63024411	3	0.808621294650715
2	241832269	3	0.808621294650715
1	141404838	2	0.611579561466968
18	75899103	3	0.808621294650715
6	90894434	3	0.808621294650715
6	4869854	3	0.808621294650715
12	53604601	3	0.808621294650715
10	115771847	1	0.29436375396942
9	56963588	3	0.808621294650715
9	137924666	3	0.808621294650715
X	59568667	3	0.808621294650715
21	40666924	1	0.29436375396942
3	75908901	1	0.29436375396942
X	10565059	2	0.611579561466968
7	54645635	1	0.29436375396942
11	60576527	3	0.808621294650715
4	190128045	3	0.808621294650715
1	89681014	1	0.29436375396942
8	71216325	3	0.808621294650715
8	23919754	3	0.808621294650715
8	88108539	3	0.808621294650715
6	32497699	1	0.29436375396942
2	183782034	1	0.29436375396942
2	49322562	3	0.808621294650715
6	16425038	3	0.808621294650715
X	31124584	1	0.29436375396942
7	43616737	1	0.29436375396942
2	78584652	2	0.611579561466968
9	20177059	1	0.29436375396942
4	86931744	1	0.29436375396942
11	93433232	3	0.808621294650715
8	33438105	3	0.808621294650715
14	90199156	3	0.808621294650715
7	57296248	1	0.29436375396942
3	31109254	3	0.808621294650715
19	11576565	3	0.808621294650715
3	7110083	3	0.808621294650715
12	112945613	3	0.808621294650715
18	24036363	2	0.611579561466968
5	24328626	1	0.29436375396942
X	61142484	2	0.611579561466968
17	51966250	1	0.29436375396942
11	102861755	1	0.29436375396942
10	2269770	2	0.611579561466968
12	26394231	3	0.808621294650715
16	4683171	2	0.611579561466968
5	127008201	2	0.611579561466968
X	53777990	3	0.808621294650715
6	82349092	3	0.808621294650715
4	146363863	1	0.29436375396942
3	115659023	1	0.29436375396942
2	95964639	1	0.29436375396942
17	44907966	3	0.808621294650715
22	39292071	2	0.611579561466968
8	46304224	2	0.611579561466968
X	119850974	1	0.29436375396942
3	44667583	1	0.29436375396942
15	21943225	3	0.808621294650715
Y	25411728	3	0.808621294650715
13	12342477	3	0.808621294650715
1	226228650	1	0.29436375396942
1	167029980	2	0.611579561466968
12	55563856	3	0.808621294650715
X	95033660	2	0.611579561466968
5	168421369	1	0.29436375396942
4	42362359	3	0.808621294650715
12	72048809	3	0.808621294650715
11	112052890	1	0.29436375396942
4	66920267	1	0.29436375396942
8	32337362	1	0.29436375396942
12	33434415	3	0.808621294650715
18	32593450	3	0.808621294650715
7	68425374	1	0.29436375396942
1	141401273	1	0.29436375396942
9	70292275	3	0.808621294650715
10	6198875	1	0.29436375396942
10	69274443	1	0.29436375396942
4	82963561	2	0.611579561466968
6	126833680	3	0.808621294650715
14	36683430	1	0.29436375396942
X	83201581	3	0.808621294650715
X	21844562	2	0.611579561466968
9	81967566	1	0.29436375396942
1	46071381	1	0.29436375396942
9	42671466	1	0.29436375396942
5	126435047	1	0.29436375396942
19	13222852	3	0.808621294650715
X	131516701	2	0.611579561466968
X	129032282	3	0.808621294650715
17	60179230	1	0.29436375396942
16	77760613	1	0.29436375396942
22	3118585	1	0.29436375396942
15	22027652	3	0.808621294650715
3	27122975	2	0.611579561466968
4	134797164	1	0.29436375396942
X	29135573	2	0.611579561466968
8	28733554	2	0.611579561466968
1	239977699	1	0.29436375396942
6	18798666	2	0.611579561466968
4	62503824	2	0.611579561466968
12	116245203	1	0.29436375396942
19	30981600	3	0.808621294650715
13	9370773	3	0.808621294650715
5	161378308	2	0.611579561466968
X	106512175	2	0.611579561466968
18	43358561	3	0.808621294650715
4	120734589	1	0.29436375396942
6	163790734	1	0.29436375396942
6	107536579	2	0.611579561466968
12	14261041	1	0.29436375396942
5	114596363	1	0.29436375396942
2	133931964	3	0.808621294650715
4	186356929	2	0.611579561466968
9	134509550	1	0.29436375396942
3	32881518	3	0.808621294650715
3	50715820	2	0.611579561466968
13	45266293	3	0.808621294650715
17	77273171	3	0.808621294650715
6	85202295	3	0.808621294650715
3	53603796	1	0.29436375396942
15	46497393	3	0.808621294650715
2	167629635	1	0.29436375396942
7	80290277	3	0.808621294650715
9	33972292	2	0.611579561466968
8	1747816	2	0.611579561466968
1	98550111	3	0.808621294650715
5	103675625	3	0.808621294650715
8	132095060	3	0.808621294650715
1	149219712	3	0.808621294650715
10	94071814	3	0.808621294650715
2	115464136	1	0.29436375396942
10	65815998	1	0.29436375396942
X	4807623	2	0.611579561466968
X	133207492	2	0.611579561466968
11	21854920	1	0.29436375396942
12	93995722	3	0.808621294650715
1	132651267	3	0.808621294650715
2	126652055	3	0.808621294650715
12	78671953	3	0.808621294650715
19	31748665	3	0.808621294650715
20	11368019	2	0.611579561466968
5	133502121	1	0.29436375396942
8	75912682	3	0.808621294650715
4	89122611	1	0.29436375396942
6	61831663	3	0.808621294650715
11	36437388	3	0.808621294650715
8	21977478	3	0.808621294650715
16	13175761	3	0.808621294650715
Y	18406538	1	0.29436375396942
5	89820709	1	0.29436375396942
19	2756065	1	0.29436375396942
6	94856831	3	0.808621294650715
12	116264170	3	0.808621294650715
8	56521904	3	0.808621294650715
1	130666698	2	0.611579561466968
8	45743102	1	0.29436375396942
9	128766808	3	0.808621294650715
14	29766745	1	0.29436375396942
12	126418649	3	0.808621294650715
17	57594846	2	0.611579561466968
6	32032820	1	0.29436375396942
18	68566435	1	0.29436375396942
20	34426143	1	0.29436375396942
11	111278385	3	0.808621294650715
18	63938207	3	0.808621294650715
4	136972383	2	0.611579561466968
15	52690767	1	0.29436375396942
13	57477071	1	0.29436375396942
19	52834823	1	0.29436375396942
18	70460996	3	0.808621294650715
10	25607868	3	0.808621294650715
3	116268820	2	0.611579561466968
6	144187926	3	0.808621294650715
16	65448817	3	0.808621294650715
13	13225292	3	0.808621294650715
5	22563238	1	0.29436375396942
X	5157463	3	0.808621294650715
4	102144379	3	0.808621294650715
11	77488716	1	0.29436375396942
8	51858573	3	0.808621294650715
1	147040406	3	0.808621294650715
13	54286451	1	0.29436375396942
21	25269112	3	0.808621294650715
7	13219759	2	0.611579561466968
3	12149279	3	0.808621294650715
4	71396030	1	0.29436375396942
3	130476355	1	0.29436375396942
8	94415794	3	0.808621294650715
1	187325169	3	0.808621294650715
4	177643416	1	0.29436375396942
8	106768732	3	0.808621294650715
9	16062515	3	0.808621294650715
1	131623406	1	0.29436375396942
5	53545293	1	0.29436375396942
4	108779139	3	0.808621294650715
9	128010615	3	0.808621294650715
4	23412112	1	0.29436375396942
6	130681274	2	0.611579561466968
2	130002990	2	0.611579561466968
20	499271	3	0.808621294650715
11	102325278	2	0.611579561466968
Y	18961400	1	0.29436375396942
21	45707804	2	0.611579561466968
11	34439652	1	0.29436375396942
4	36448044	2	0.611579561466968
1	244476805	3	0.808621294650715
17	6805910	2	0.611579561466968
16	83825962	1	0.29436375396942
18	41954647	2	0.611579561466968
7	5415269	1	0.29436375396942
5	148150785	2	0.611579561466968
11	96681430	1	0.29436375396942
7	12622149	1	0.29436375396942
12	26475107	1	0.29436375396942
8	111583079	3	0.808621294650715
X	149016745	2	0.611579561466968
22	42417331	1	0.29436375396942
18	35438333	3	0.808621294650715
